Comuna;Cadena;Cantidad de locales;Reviews;Rating
Santiago;Papa Jhon´s;6;15.274;4,4
Santiago;Melt Pizza;2;20.296;4,4
Santiago;Little Caesars;2;8.057;4,4
Santiago;Domino's Pizza;3;6.035;3,2
Santiago;Telepizza;4;3.175;3,8
Santiago;Pizzapizza;2;904;5,0
Santiago;Pizza hut;8;7.371;4,3
Santiago;Lovdo;2;4.091;4,1
Santiago;Milano´s pizza;4;2.208;4,5
Maipú;Papa Jhon´s;6;9.000;4,6
Maipú;Melt Pizza;3;10.216;4,5
Maipú;Little Caesars;3;15.755;4,5
Maipú;Domino's Pizza;2;4.011;3,4
Maipú;Telepizza;4;4.230;4,4
Maipú;Pizzapizza;2;808;3,4
Maipú;Pizza hut;9;8.231;4,2
Puente Alto;Papa Jhon´s;4;10.192;4,6
Puente Alto;Melt Pizza;3;15.129;4,6
Puente Alto;Little Caesars;4;15.500;4,6
Puente Alto;Domino's Pizza;1;2.009;3,6
Puente Alto;Telepizza;5;2.182;3,8
Puente Alto;Pizzapizza;1;916;3,7
Puente Alto;Pizza hut;2;7.266;4,4
Puente Alto;Lovdo;1;1.512;3,7
Las Condes;Papa Jhon´s;10;8.096;4,2
Las Condes;Melt Pizza;3;10.122;4,4
Las Condes;Little Caesars;5;7.196;4,3
Las Condes;Domino's Pizza;3;3.044;3,5
Las Condes;Waldo´s;1;278;4,8
Las Condes;Pizzapizza;5;703;1,0
Las Condes;Pizza hut;7;2.220;4,1
Las Condes;Lovdo;2;33;3,6
La Florida ;Papa Jhon´s;6;15.054;4,5
La Florida ;Melt Pizza;1;15.251;4,6
La Florida ;Little Caesars;2;10.379;4,4
La Florida ;Domino's Pizza;2;3.016;2,8
La Florida ;Telepizza;3;1.145;3,9
La Florida ;Pizzapizza;1;708;3,9
La Florida ;Pizza hut;2;4.202;4,4
La Florida ;Lovdo;2;1.011;3,8
